placa;data_atualizacao;latitude;longitude;velocidade;pos_id
FAH6577;18/07/2023 12:58;-23,520267;-46,189807;3;40
FAH6577;18/07/2023 11:58;-23,520267;-46,189807;0;40
FAH6577;18/07/2023 10:58;-23,520267;-46,189807;2;40
FAH6577;18/07/2023 09:58;-23,520267;-46,189807;5;40
FAH6577;18/07/2023 08:58;-23,520267;-46,189807;1;40
FAH6577;18/07/2023 08:57;-23,520267;-46,189807;1;40
FAH6577;18/07/2023 08:57;-23,520267;-46,189807;1;40
FAH6577;18/07/2023 08:55;-23,520267;-46,189807;1;40
FAH6577;18/07/2023 08:55;-23,520058;-46,190032;0;40
FAH6577;18/07/2023 08:55;-23,520267;-46,189807;0;40
FAH6577;18/07/2023 08:54;-23,520068;-46,189957;4;40
FAH6577;18/07/2023 08:54;-23,520267;-46,189807;0;40
FAH6577;18/07/2023 08:53;-23,520192;-46,189953;0;40
FAH6577;18/07/2023 08:53;-23,520192;-46,189953;0;40
FAH6577;18/07/2023 08:53;-23,520192;-46,189953;0;40
FAH6577;18/07/2023 08:52;-23,520267;-46,189807;9;40
FAH6577;18/07/2023 08:52;-23,52047;-46,189755;20;40
FAH6577;18/07/2023 08:52;-23,520798;-46,189757;14;40
FAH6577;18/07/2023 08:52;-23,520823;-46,189502;16;40
FAH6577;18/07/2023 08:51;-23,520782;-46,189258;25;80
FAH6577;18/07/2023 08:51;-23,520733;-46,189003;28;80
FAH6577;18/07/2023 08:51;-23,52069;-46,188663;23;40
FAH6577;18/07/2023 08:51;-23,520682;-46,188393;16;40
FAH6577;18/07/2023 08:51;-23,520945;-46,188298;22;40
FAH6577;18/07/2023 08:51;-23,521177;-46,18828;22;40
FAH6577;18/07/2023 08:51;-23,521458;-46,188243;23;40
FAH6577;18/07/2023 08:51;-23,521913;-46,188173;19;40
FAH6577;18/07/2023 08:51;-23,521758;-46,1882;23;40
FAH6577;18/07/2023 08:51;-23,522008;-46,188157;19;40
FAH6577;18/07/2023 08:50;-23,522283;-46,188118;21;40
FAH6577;18/07/2023 08:50;-23,522537;-46,188092;27;40
FAH6577;18/07/2023 08:50;-23,522827;-46,188058;17;40
FAH6577;18/07/2023 08:50;-23,52306;-46,188035;23;40
FAH6577;18/07/2023 08:50;-23,523338;-46,188017;30;40
FAH6577;18/07/2023 08:50;-23,523613;-46,18798;22;40
FAH6577;18/07/2023 08:50;-23,5239;-46,187943;12;40
FAH6577;18/07/2023 08:50;-23,52438;-46,187888;26;40
FAH6577;18/07/2023 08:50;-23,524663;-46,187788;17;40
FAH6577;18/07/2023 08:50;-23,524738;-46,187503;13;40
FAH6577;18/07/2023 08:49;-23,524963;-46,187405;20;40
FAH6577;18/07/2023 08:49;-23,525237;-46,187305;21;40
FAH6577;18/07/2023 08:49;-23,525403;-46,187163;40;40
FAH6577;18/07/2023 08:49;-23,52562;-46,187005;46;40
FAH6577;18/07/2023 08:49;-23,525837;-46,186873;49;40
FAH6577;18/07/2023 08:49;-23,526135;-46,186668;14;40
FAH6577;18/07/2023 08:49;-23,526342;-46,186638;13;40
FAH6577;18/07/2023 08:49;-23,526357;-46,186727;23;40
FAH6577;18/07/2023 08:48;-23,526397;-46,186953;34;40
FAH6577;18/07/2023 08:48;-23,526567;-46,187803;24;120
FAH6577;18/07/2023 08:48;-23,52661;-46,188048;34;120
FAH6577;18/07/2023 08:48;-23,526692;-46,188382;18;40
FAH6577;18/07/2023 08:48;-23,526912;-46,188475;20;40
FAH6577;18/07/2023 08:48;-23,527178;-46,18844;35;40
FAH6577;18/07/2023 08:48;-23,52742;-46,18842;28;40
FAH6577;18/07/2023 08:48;-23,527702;-46,188397;22;40
FAH6577;18/07/2023 08:48;-23,527925;-46,188382;34;40
FAH6577;18/07/2023 08:48;-23,528228;-46,188342;27;40
FAH6577;18/07/2023 08:48;-23,528483;-46,188303;29;40
FAH6577;18/07/2023 08:48;-23,52875;-46,188278;42;40
FAH6577;18/07/2023 08:48;-23,528967;-46,18825;46;40
FAH6577;18/07/2023 08:47;-23,529318;-46,188207;45;40
FAH6577;18/07/2023 08:47;-23,52955;-46,188185;40;40
FAH6577;18/07/2023 08:47;-23,529833;-46,188155;29;60
FAH6577;18/07/2023 08:47;-23,530115;-46,188125;13;60
FAH6577;18/07/2023 08:47;-23,530037;-46,18839;24;60
FAH6577;18/07/2023 08:47;-23,529912;-46,188573;31;60
FAH6577;18/07/2023 08:47;-23,529738;-46,188863;32;60
FAH6577;18/07/2023 08:47;-23,529677;-46,189113;30;60
FAH6577;18/07/2023 08:47;-23,529505;-46,189377;26;60
FAH6577;18/07/2023 08:47;-23,529475;-46,189647;17;40
FAH6577;18/07/2023 08:47;-23,529623;-46,189885;19;40
FAH6577;18/07/2023 08:47;-23,529768;-46,1901;19;40
FAH6577;18/07/2023 08:47;-23,529938;-46,190332;18;40
FAH6577;18/07/2023 08:47;-23,530123;-46,190645;0;40
FAH6577;18/07/2023 08:47;-23,530124;-46,190646;0;40
FAH6577;18/07/2023 07:58;-23,53014;-46,190887;0;40
FAH6577;18/07/2023 06:58;-23,53014;-46,190887;3;40
FAH6577;18/07/2023 05:58;-23,53014;-46,190887;0;40
FAH6577;18/07/2023 04:58;-23,53014;-46,190887;4;40
FAH6577;18/07/2023 03:58;-23,53014;-46,190887;0;40
FAH6577;18/07/2023 02:58;-23,53014;-46,190887;0;40
FAH6577;18/07/2023 01:58;-23,53014;-46,190887;1;40
